id,lat,lng
b301840867,40.4295960952381,-86.91958485238095
b301840869,40.42904643461539,-86.91956408076923
b301840870,40.428031045454546,-86.91878227272727
b301840871,40.42798238888889,-86.91830676666667
b301840872,40.42755396,-86.91833946
b301840873,40.428979760000004,-86.91888555999999
b301841244,40.428719684210535,-86.91830646842105
b301841245,40.42858166153845,-86.9175888153846
b301841246,40.429589276923075,-86.91826886923076
b301841248,40.429701805882345,-86.9170808117647
b301841249,40.42943916666667,-86.91702165555554
b301841250,40.43095634545455,-86.91749302272727
b301841251,40.43063655454545,-86.91757924545453
b301841252,40.43104723846154,-86.91695473846153
b301841253,40.43049427142857,-86.91702474761904
b301841254,40.42998323636364,-86.91708606363636
b301841256,40.43184394,-86.92616957999999
b301841257,40.432860042857136,-86.92690071428571
b301841328,40.433518574999994,-86.92648361250001
b301841329,40.43374825,-86.92587556666666
b301841330,40.43296936363637,-86.9254152090909
b301841331,40.43426948571429,-86.92688542857142
b301841332,40.43410446,-86.92512602
b301841333,40.433636792,-86.923788088
b301841334,40.434287440000006,-86.9252769
b301841600,40.43457004,-86.92459976
b301841601,40.43407355,-86.92357138749999
b301841602,40.434773122222225,-86.92644460000001
b301841603,40.43509255714286,-86.9257833857143
b301841605,40.43606612000001,-86.92494292
b301841607,40.43555781428571,-86.92551008571427
b301841608,40.43542439285714,-86.92395092857144
b301841609,40.434878000000005,-86.92434384666664
b301841610,40.435186364705885,-86.92322860588237
b301841838,40.434383842857144,-86.92231121428571
b301841839,40.43484665714286,-86.92199428571429
b301841840,40.43387062000001,-86.92267634
b301841841,40.43422144,-86.92194635999999
b301841842,40.4341504,-86.92159574
b301841843,40.43371646000001,-86.92196312
b301841844,40.43365016,-86.92158134
b301841845,40.43390380000001,-86.92135522
b301841846,40.43417973333333,-86.92117065555558
b301842049,40.435225439999996,-86.92118452
b301842050,40.4348621,-86.92109592
b301842051,40.435074500000006,-86.92062514999999
b301842052,40.43454012000001,-86.92111782
b301842053,40.43549994000001,-86.92064988000001
b301842055,40.43578178571429,-86.92076287142858
b301842056,40.43611724,-86.92079686000001
b301842057,40.4355426,-86.92027254000001
b301842058,40.43584317692307,-86.92016699230771
b301842059,40.436264522222224,-86.92044761111111
b301842060,40.43469024,-86.92055038000001
b301842061,40.435212557142854,-86.92007572857143
b301842858,40.43485295454545,-86.9200874909091
b301842859,40.43452394444444,-86.92010593333333
b301842860,40.433936700000004,-86.92086824
b301842861,40.433633,-86.92060799999999
b301842862,40.43427096153846,-86.9205411846154
b301842863,40.43413061538461,-86.9201877230769
b301842864,40.43389616153846,-86.91989866153845
b301842865,40.43328431538461,-86.92029084615385
b301842866,40.4334555076923,-86.91989033846153
b301842867,40.43345616,-86.92266839999999
b301842868,40.43334362,-86.92195716
b301911802,40.43029158,-86.92607473999999
b301911805,40.42760884,-86.92545046000001
b301913300,40.42559225555556,-86.93689417777779
b301913301,40.42636046,-86.93633331999999
b301915049,40.41660156,-86.93223552000002
b301915050,40.41625941666667,-86.9309738
b301915051,40.416477785714285,-86.9302907
b301915052,40.41639482,-86.92868247999999
b301915053,40.41611424,-86.92892206
b301921255,40.42566224117647,-86.91749909411766
b301921256,40.425524407692315,-86.91820134615385
b301921257,40.425794200000006,-86.91826871111111
b301921258,40.42506268666667,-86.91949092666667
b301921259,40.42492976153846,-86.91886116923077
b301921260,40.42506929166667,-86.91884742500001
b301923755,40.424473584210524,-86.91951596842105
b301931864,40.422297578260874,-86.90536605217389
b301931866,40.42197317647058,-86.90562945294117
b301931868,40.42147066,-86.90607602000001
b301931870,40.42143884,-86.9059267
b301931872,40.421345099999996,-86.90575068333334
